Argus v5 (macro + geo-mean K-fold + event delay + slippage) — run v5, budget 10 min, seed 42

Data: 3951 bars, 71 curated events, 3951 macro rows
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Precomputed: indicators + event-state (1d delay) + macro state

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

K-fold: 4 folds within train slice
  Fold 0: 2010-08-18 → 2017-08-27 (650 bars)
  Fold 1: 2017-08-28 → 2019-06-08 (650 bars)
  Fold 2: 2019-06-09 → 2021-03-19 (650 bars)
  Fold 3: 2021-03-20 → 2022-12-31 (652 bars)

Gen    1 | fit   1.116 | fold Calmar  3.67/ 5.25/ 1.70/ 0.05 | fold DD  4/ 0/ 3/ 1%
Gen  471 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  476 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  481 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  486 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  491 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  496 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  501 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  506 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  511 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  516 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  521 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  526 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  531 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  536 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  541 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  546 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  551 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  556 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  561 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  566 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  571 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  576 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  581 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  586 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  591 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  596 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  601 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  606 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  611 | fit   8.237 | fold Calmar 27.84/ 4.59/12.54/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  616 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  621 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  626 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  631 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  636 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  641 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  646 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  651 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  656 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  661 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  666 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
Gen  671 | fit   8.238 | fold Calmar 27.84/ 4.59/12.55/ 2.87 | fold DD 22/ 7/ 8/ 5%
