AXIS bot evolution — run v1, budget 3 minutes

Data: 3951 daily bars (2010-08-18 → 2026-09-10)
Indicators precomputed

Buy-and-hold baseline: $1000 → $1116200000 (111619900% total return)

Gen 1091 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1096 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1101 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1106 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1111 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1116 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1121 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1126 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1131 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1136 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1141 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1146 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1151 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1156 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1161 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1166 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1171 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1176 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1181 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1186 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1191 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1196 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1201 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1206 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1211 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1216 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1221 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1226 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1231 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1236 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1241 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1246 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1251 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1256 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1261 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1266 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1271 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1276 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1281 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1286 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1291 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1296 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1301 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1306 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
Gen 1311 | best fit   10.650 | equity $   20790 | sortino 10.65 | trades 1011 | ✓ SURVIVED
