Argus v2 evolution — run v2, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.291 | CAGR   69.9% | DD  30.5% | Calmar   2.29 | trades  104 | ✓
Gen  646 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  651 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  656 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  661 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  666 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  671 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  676 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  681 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  686 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  691 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  696 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  701 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  706 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  711 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  716 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  721 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  726 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  731 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  736 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  741 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  746 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  751 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  756 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  761 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  766 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  771 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  776 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  781 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  786 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  791 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  796 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  801 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  806 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  811 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  816 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  821 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  826 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  831 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  836 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  841 | fit  10.170 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  846 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  851 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  856 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  861 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  866 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  871 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  876 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  881 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  886 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  891 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  896 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  901 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  906 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  911 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  916 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  921 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  926 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  931 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  936 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  941 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  946 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  951 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  956 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  961 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  966 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  971 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  976 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  981 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  986 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  991 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen  996 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen 1001 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen 1006 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen 1011 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
Gen 1016 | fit  10.171 | CAGR  287.3% | DD  28.2% | Calmar  10.17 | trades  396 | ✓
