Argus v3 evolution (17-gene reduced) — run v3, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.083 | CAGR   72.3% | DD  34.7% | Calmar   2.08 | trades   84 | ✓
Gen  781 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  786 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  791 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  796 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  801 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  806 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  811 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  816 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  821 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  826 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  831 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  836 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  841 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  846 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  851 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  856 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  861 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  866 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  871 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  876 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  881 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  886 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
